coord_lon,coord_lat,weather_0_id,weather_0_main,weather_0_description,weather_0_icon,base,main_temp,main_feels_like,main_temp_min,main_temp_max,main_pressure,main_humidity,main_sea_level,main_grnd_level,visibility,wind_speed,wind_deg,rain_1h,clouds_all,dt,sys_type,sys_id,sys_country,sys_sunrise,sys_sunset,timezone,id,name,cod,wind_gust,weather_1_id,weather_1_main,weather_1_description,weather_1_icon,message
-88.7667,17.25,803.0,Clouds,broken clouds,04n,stations,296.95,297.71,296.95,296.95,1007.0,89.0,1007.0,995.0,10000.0,1.61,225.0,,69.0,1727335129.0,,,BZ,1727351074.0,1727394467.0,-21600.0,3582672.0,Belmopan,200,5.77,,,,,
-43.9378,-19.9208,800.0,Clear,clear sky,01n,stations,290.5,289.86,290.5,290.5,1016.0,60.0,1016.0,906.0,10000.0,2.0,89.0,,0.0,1727335129.0,,,BR,1727340076.0,1727383953.0,-10800.0,3470127.0,Belo Horizonte,200,3.05,,,,,
77.6033,12.9762,803.0,Clouds,broken clouds,04d,stations,300.58,302.25,299.05,301.05,1007.0,65.0,1007.0,911.0,8000.0,3.09,280.0,,75.0,1727334845.0,2.0,2017753.0,IN,1727311121.0,1727354583.0,19800.0,1277333.0,Bengaluru,200,,,,,,
13.4105,52.5244,800.0,Clear,clear sky,01d,stations,288.16,288.07,287.53,289.44,997.0,90.0,997.0,992.0,10000.0,4.63,160.0,,0.0,1727335129.0,2.0,2011538.0,DE,1727326763.0,1727369745.0,7200.0,2950159.0,Berlin,200,,,,,,
7.4474,46.9481,501.0,Rain,moderate rain,10d,stations,287.1,286.85,286.76,288.91,1003.0,88.0,1003.0,932.0,7420.0,1.55,197.0,1.12,100.0,1727335129.0,2.0,2012960.0,CH,1727328153.0,1727371217.0,7200.0,2661552.0,Bern,200,2.2,,,,,
74.59,42.87,501.0,Rain,moderate rain,10d,stations,284.26,283.28,284.26,284.26,1013.0,71.0,1013.0,914.0,10000.0,2.89,17.0,1.69,100.0,1727335129.0,1.0,8871.0,KG,1727311999.0,1727355151.0,21600.0,1528675.0,Bishkek,200,0.75,,,,,
-15.5977,11.8636,501.0,Rain,moderate rain,10d,stations,297.21,298.28,297.21,297.21,1012.0,100.0,1012.0,1010.0,7000.0,2.06,130.0,1.04,75.0,1727335129.0,1.0,2370.0,GW,1727333483.0,1727376946.0,0.0,2374775.0,Bissau,200,,,,,,
-74.0817,4.6097,801.0,Clouds,few clouds,02n,stations,282.88,282.88,282.88,282.88,1018.0,100.0,1018.0,737.0,10000.0,0.0,0.0,,20.0,1727335130.0,1.0,8582.0,CO,1727347476.0,1727391018.0,-18000.0,3688689.0,Bogota,200,,,,,,
-47.9297,-15.7797,800.0,Clear,clear sky,01n,stations,292.66,291.95,292.66,292.66,1013.0,49.0,1013.0,888.0,10000.0,0.51,90.0,,0.0,1727335130.0,1.0,8336.0,BR,1727341066.0,1727384879.0,-10800.0,3469058.0,Brasília,200,,,,,,
17.1067,48.1482,500.0,Rain,light rain,10d,stations,289.57,289.41,289.11,290.69,1005.0,82.0,1005.0,984.0,10000.0,7.69,199.0,0.12,100.0,1727335130.0,2.0,2044188.0,SK,1727325841.0,1727368894.0,7200.0,3060972.0,Bratislava,200,13.24,,,,,
